transaction_id,from_account,to_account,amount,transaction_type,timestamp,from_node,to_node,status
TX000020,ACC0432,ACC0539,577.11,TRANSFER,2024-01-01 00:20:00,A,C,PENDING
TX000021,ACC0066,ACC0488,2246.89,TRANSFER,2024-01-01 00:21:00,A,C,PENDING
TX000022,ACC0371,ACC0526,2972.39,TRANSFER,2024-01-01 00:22:00,C,B,PENDING
TX000023,ACC0463,ACC0516,1115.53,TRANSFER,2024-01-01 00:23:00,B,A,PENDING
TX000024,ACC0630,ACC0045,3638.94,TRANSFER,2024-01-01 00:24:00,A,A,PENDING
TX000025,ACC0931,ACC0888,3297.93,TRANSFER,2024-01-01 00:25:00,B,A,PENDING
TX000026,ACC0309,ACC0470,3220.27,TRANSFER,2024-01-01 00:26:00,A,C,PENDING
TX000027,ACC0032,ACC0063,4992.95,TRANSFER,2024-01-01 00:27:00,C,A,PENDING
TX000028,ACC0868,ACC0412,2137.11,TRANSFER,2024-01-01 00:28:00,B,B,PENDING
TX000029,ACC0111,ACC0503,3564.88,TRANSFER,2024-01-01 00:29:00,A,C,PENDING
TX000030,ACC0455,ACC0076,4497.34,TRANSFER,2024-01-01 00:30:00,C,B,PENDING
TX000031,ACC0330,ACC0623,750.19,TRANSFER,2024-01-01 00:31:00,A,C,PENDING
TX000032,ACC0130,ACC0282,3125.34,TRANSFER,2024-01-01 00:32:00,B,A,PENDING
TX000033,ACC0600,ACC0562,3563.64,TRANSFER,2024-01-01 00:33:00,A,B,PENDING
TX000034,ACC0391,ACC0612,2657.48,TRANSFER,2024-01-01 00:34:00,B,A,PENDING
TX000035,ACC0465,ACC0518,3031.08,TRANSFER,2024-01-01 00:35:00,A,C,PENDING
TX000036,ACC0102,ACC0813,3511.88,TRANSFER,2024-01-01 00:36:00,A,A,PENDING
TX000037,ACC0874,ACC0671,3258.07,TRANSFER,2024-01-01 00:37:00,B,C,PENDING
TX000038,ACC0788,ACC0565,3606.99,TRANSFER,2024-01-01 00:38:00,C,B,PENDING
TX000039,ACC0221,ACC0441,2263.26,TRANSFER,2024-01-01 00:39:00,C,A,PENDING
TX000040,ACC0234,ACC0424,1701.27,TRANSFER,2024-01-01 00:40:00,A,B,PENDING
TX000041,ACC0465,ACC0409,2085.79,TRANSFER,2024-01-01 00:41:00,A,B,PENDING
TX000042,ACC0098,ACC0321,2139.55,TRANSFER,2024-01-01 00:42:00,C,A,PENDING
TX000043,ACC0682,ACC0262,1877.76,TRANSFER,2024-01-01 00:43:00,B,B,PENDING
TX000044,ACC0157,ACC0704,4615.7,TRANSFER,2024-01-01 00:44:00,B,C,PENDING
TX000045,ACC0069,ACC0094,4160.54,TRANSFER,2024-01-01 00:45:00,A,B,PENDING
TX000046,ACC0096,ACC0443,491.86,TRANSFER,2024-01-01 00:46:00,A,C,PENDING
TX000047,ACC0757,ACC0382,4060.73,TRANSFER,2024-01-01 00:47:00,B,B,PENDING
TX000048,ACC0570,ACC0062,2936.46,TRANSFER,2024-01-01 00:48:00,A,C,PENDING
TX000049,ACC0576,ACC0338,3353.37,TRANSFER,2024-01-01 00:49:00,A,C,PENDING
TX000050,ACC0421,ACC0363,4369.3,TRANSFER,2024-01-01 00:50:00,B,A,PENDING
TX000051,ACC0964,ACC0769,2120.45,TRANSFER,2024-01-01 00:51:00,B,B,PENDING
TX000052,ACC0938,ACC0739,266.72,TRANSFER,2024-01-01 00:52:00,C,B,PENDING
TX000053,ACC0295,ACC0615,1569.12,TRANSFER,2024-01-01 00:53:00,B,A,PENDING
TX000054,ACC0107,ACC0592,2541.99,TRANSFER,2024-01-01 00:54:00,C,B,PENDING
TX000055,ACC0159,ACC0673,2416.13,TRANSFER,2024-01-01 00:55:00,A,B,PENDING
TX000056,ACC0868,ACC0111,1757.07,TRANSFER,2024-01-01 00:56:00,B,A,PENDING
TX000057,ACC0570,ACC0377,583.28,TRANSFER,2024-01-01 00:57:00,A,C,PENDING
TX000058,ACC0286,ACC0588,1138.53,TRANSFER,2024-01-01 00:58:00,B,A,PENDING
TX000059,ACC0440,ACC0866,2809.22,TRANSFER,2024-01-01 00:59:00,C,C,PENDING
TX000060,ACC0786,ACC0839,3112.4,TRANSFER,2024-01-01 01:00:00,A,C,PENDING
TX000061,ACC0692,ACC0659,2788.13,TRANSFER,2024-01-01 01:01:00,C,C,PENDING
TX000062,ACC0624,ACC0952,3292.58,TRANSFER,2024-01-01 01:02:00,A,B,PENDING
TX000063,ACC0711,ACC0274,154.48,TRANSFER,2024-01-01 01:03:00,A,B,PENDING
TX000064,ACC0280,ACC0720,3814.42,TRANSFER,2024-01-01 01:04:00,B,A,PENDING
TX000065,ACC0944,ACC0348,1761.61,TRANSFER,2024-01-01 01:05:00,C,A,PENDING
TX000066,ACC0186,ACC0891,724.82,TRANSFER,2024-01-01 01:06:00,A,A,PENDING
TX000067,ACC0674,ACC0411,357.23,TRANSFER,2024-01-01 01:07:00,C,A,PENDING
TX000068,ACC0759,ACC0649,4859.33,TRANSFER,2024-01-01 01:08:00,A,B,PENDING
TX000069,ACC0094,ACC0765,2657.11,TRANSFER,2024-01-01 01:09:00,B,A,PENDING
TX000070,ACC0386,ACC0430,2273.69,TRANSFER,2024-01-01 01:10:00,C,B,PENDING
TX000071,ACC0162,ACC0379,1565.07,TRANSFER,2024-01-01 01:11:00,A,B,PENDING
TX000072,ACC0333,ACC0796,4707.62,TRANSFER,2024-01-01 01:12:00,A,B,PENDING
TX000073,ACC0611,ACC0087,4417.88,TRANSFER,2024-01-01 01:13:00,C,A,PENDING
TX000074,ACC0160,ACC0162,3774.64,TRANSFER,2024-01-01 01:14:00,B,A,PENDING
TX000075,ACC0051,ACC0691,417.09,TRANSFER,2024-01-01 01:15:00,A,B,PENDING
TX000076,ACC0454,ACC0678,2125.83,TRANSFER,2024-01-01 01:16:00,B,A,PENDING
TX000077,ACC0622,ACC0453,2076.78,TRANSFER,2024-01-01 01:17:00,B,A,PENDING
TX000078,ACC0221,ACC0774,2566.61,TRANSFER,2024-01-01 01:18:00,C,A,PENDING
TX000079,ACC0354,ACC0441,563.34,TRANSFER,2024-01-01 01:19:00,A,A,PENDING
TX000080,ACC0695,ACC0608,2438.3,TRANSFER,2024-01-01 01:20:00,C,C,PENDING
TX000081,ACC0684,ACC0316,236.63,TRANSFER,2024-01-01 01:21:00,A,B,PENDING
TX000082,ACC0405,ACC0614,283.36,TRANSFER,2024-01-01 01:22:00,A,C,PENDING
TX000083,ACC0210,ACC0309,4727.17,TRANSFER,2024-01-01 01:23:00,A,A,PENDING
TX000084,ACC0786,ACC0141,3823.16,TRANSFER,2024-01-01 01:24:00,A,A,PENDING
TX000085,ACC0297,ACC0336,608.72,TRANSFER,2024-01-01 01:25:00,A,A,PENDING
TX000086,ACC0510,ACC0765,2158.97,TRANSFER,2024-01-01 01:26:00,A,A,PENDING
TX000087,ACC0133,ACC0390,2667.59,TRANSFER,2024-01-01 01:27:00,B,A,PENDING
TX000088,ACC0236,ACC0513,2798.03,TRANSFER,2024-01-01 01:28:00,C,A,PENDING
TX000089,ACC0685,ACC0826,1777.29,TRANSFER,2024-01-01 01:29:00,B,B,PENDING
TX000090,ACC0407,ACC0883,3712.79,TRANSFER,2024-01-01 01:30:00,C,B,PENDING
TX000091,ACC0447,ACC0020,2304.17,TRANSFER,2024-01-01 01:31:00,A,C,PENDING
TX000092,ACC0080,ACC0883,1572.17,TRANSFER,2024-01-01 01:32:00,C,B,PENDING
TX000093,ACC0440,ACC0588,2028.07,TRANSFER,2024-01-01 01:33:00,C,A,PENDING
TX000094,ACC0656,ACC0428,1454.68,TRANSFER,2024-01-01 01:34:00,C,C,PENDING
TX000095,ACC0415,ACC0022,4831.34,TRANSFER,2024-01-01 01:35:00,B,B,PENDING
TX000096,ACC0176,ACC0821,4738.6,TRANSFER,2024-01-01 01:36:00,C,C,PENDING
TX000097,ACC0472,ACC0852,3451.15,TRANSFER,2024-01-01 01:37:00,B,A,PENDING
TX000098,ACC0371,ACC0091,2189.19,TRANSFER,2024-01-01 01:38:00,C,B,PENDING
TX000099,ACC0109,ACC0250,2184.03,TRANSFER,2024-01-01 01:39:00,B,B,PENDING
TX000100,ACC0411,ACC0537,402.45,TRANSFER,2024-01-01 01:40:00,A,A,PENDING
TX000101,ACC0892,ACC0318,3731.57,TRANSFER,2024-01-01 01:41:00,B,A,PENDING
TX000102,ACC0227,ACC0342,3897.8,TRANSFER,2024-01-01 01:42:00,C,A,PENDING
TX000103,ACC0079,ACC0523,3169.79,TRANSFER,2024-01-01 01:43:00,B,B,PENDING
TX000104,ACC0544,ACC0523,977.58,TRANSFER,2024-01-01 01:44:00,B,B,PENDING
TX000105,ACC0795,ACC0358,1761.99,TRANSFER,2024-01-01 01:45:00,A,B,PENDING
TX000106,ACC0982,ACC0839,3230.76,TRANSFER,2024-01-01 01:46:00,B,C,PENDING
TX000107,ACC0152,ACC0242,522.99,TRANSFER,2024-01-01 01:47:00,C,C,PENDING
TX000108,ACC0263,ACC0203,875.76,TRANSFER,2024-01-01 01:48:00,C,C,PENDING
TX000109,ACC0157,ACC0779,3798.17,TRANSFER,2024-01-01 01:49:00,B,C,PENDING
TX000110,ACC0078,ACC0182,4756.95,TRANSFER,2024-01-01 01:50:00,A,C,PENDING
TX000111,ACC0644,ACC0506,2325.13,TRANSFER,2024-01-01 01:51:00,C,C,PENDING
TX000112,ACC0578,ACC0779,2901.55,TRANSFER,2024-01-01 01:52:00,C,C,PENDING
TX000113,ACC0698,ACC0947,4411.42,TRANSFER,2024-01-01 01:53:00,C,C,PENDING
TX000114,ACC0659,ACC0651,4932.79,TRANSFER,2024-01-01 01:54:00,C,A,PENDING
TX000115,ACC0331,ACC0885,4855.16,TRANSFER,2024-01-01 01:55:00,B,A,PENDING
TX000116,ACC0324,ACC0155,2204.42,TRANSFER,2024-01-01 01:56:00,A,C,PENDING
TX000117,ACC0481,ACC0453,3160.61,TRANSFER,2024-01-01 01:57:00,B,A,PENDING
TX000118,ACC0816,ACC0282,2961.18,TRANSFER,2024-01-01 01:58:00,A,A,PENDING
TX000119,ACC0361,ACC0520,380.21,TRANSFER,2024-01-01 01:59:00,B,B,PENDING
TX000120,ACC0473,ACC0463,197.66,TRANSFER,2024-01-01 02:00:00,C,B,PENDING
TX000121,ACC0378,ACC0852,1442.51,TRANSFER,2024-01-01 02:01:00,A,A,PENDING
TX000122,ACC0661,ACC0885,4887.07,TRANSFER,2024-01-01 02:02:00,B,A,PENDING
TX000123,ACC0093,ACC0630,2974.46,TRANSFER,2024-01-01 02:03:00,A,A,PENDING
TX000124,ACC0394,ACC0474,2905.84,TRANSFER,2024-01-01 02:04:00,B,A,PENDING
TX000125,ACC0978,ACC0811,3697.22,TRANSFER,2024-01-01 02:05:00,A,B,PENDING
TX000126,ACC0043,ACC0461,4546.16,TRANSFER,2024-01-01 02:06:00,B,C,PENDING
TX000127,ACC0586,ACC0668,949.31,TRANSFER,2024-01-01 02:07:00,B,C,PENDING
TX000128,ACC0620,ACC0488,2511.82,TRANSFER,2024-01-01 02:08:00,C,C,PENDING
TX000129,ACC0981,ACC0064,2258.11,TRANSFER,2024-01-01 02:09:00,A,B,PENDING
TX000130,ACC0831,ACC0921,4188.51,TRANSFER,2024-01-01 02:10:00,A,A,PENDING
TX000131,ACC0732,ACC0087,2527.7,TRANSFER,2024-01-01 02:11:00,A,A,PENDING
TX000132,ACC0177,ACC0041,1246.24,TRANSFER,2024-01-01 02:12:00,A,C,PENDING
TX000133,ACC0449,ACC0450,2625.1,TRANSFER,2024-01-01 02:13:00,C,A,PENDING
TX000134,ACC0625,ACC0163,1825.85,TRANSFER,2024-01-01 02:14:00,B,B,PENDING
TX000135,ACC0940,ACC0290,1943.21,TRANSFER,2024-01-01 02:15:00,B,C,PENDING
TX000136,ACC0794,ACC0347,3397.7,TRANSFER,2024-01-01 02:16:00,C,C,PENDING
TX000137,ACC0054,ACC0809,3158.12,TRANSFER,2024-01-01 02:17:00,A,C,PENDING
TX000138,ACC0343,ACC0068,1655.16,TRANSFER,2024-01-01 02:18:00,B,C,PENDING
TX000139,ACC0572,ACC0695,1938.96,TRANSFER,2024-01-01 02:19:00,C,C,PENDING
TX000140,ACC0259,ACC0742,4259.32,TRANSFER,2024-01-01 02:20:00,B,B,PENDING
TX000141,ACC0988,ACC0929,3017.48,TRANSFER,2024-01-01 02:21:00,B,C,PENDING
TX000142,ACC0154,ACC0342,416.69,TRANSFER,2024-01-01 02:22:00,B,A,PENDING
TX000143,ACC0680,ACC0145,4584.56,TRANSFER,2024-01-01 02:23:00,C,B,PENDING
TX000144,ACC0318,ACC0991,3283.71,TRANSFER,2024-01-01 02:24:00,A,B,PENDING
TX000145,ACC0679,ACC0402,653.47,TRANSFER,2024-01-01 02:25:00,B,A,PENDING
TX000146,ACC0726,ACC0961,432.75,TRANSFER,2024-01-01 02:26:00,A,B,PENDING
TX000147,ACC0573,ACC0386,3221.03,TRANSFER,2024-01-01 02:27:00,A,C,PENDING
TX000148,ACC0337,ACC0833,647.69,TRANSFER,2024-01-01 02:28:00,B,C,PENDING
TX000149,ACC0720,ACC0849,4736.07,TRANSFER,2024-01-01 02:29:00,A,A,PENDING
TX000150,ACC0702,ACC0935,2636.7,TRANSFER,2024-01-01 02:30:00,A,C,PENDING
TX000151,ACC0662,ACC0687,2122.8,TRANSFER,2024-01-01 02:31:00,C,A,PENDING
TX000152,ACC0371,ACC0019,1819.36,TRANSFER,2024-01-01 02:32:00,C,B,PENDING
TX000153,ACC0185,ACC0974,1078.82,TRANSFER,2024-01-01 02:33:00,C,C,PENDING
TX000154,ACC0971,ACC0785,2436.49,TRANSFER,2024-01-01 02:34:00,C,C,PENDING
TX000155,ACC0232,ACC0141,783.18,TRANSFER,2024-01-01 02:35:00,B,A,PENDING
TX000156,ACC0303,ACC0865,3942.72,TRANSFER,2024-01-01 02:36:00,A,B,PENDING
TX000157,ACC0520,ACC0790,2703.46,TRANSFER,2024-01-01 02:37:00,B,B,PENDING
TX000158,ACC0757,ACC0905,2637.39,TRANSFER,2024-01-01 02:38:00,B,C,PENDING
TX000159,ACC0678,ACC0345,4383.2,TRANSFER,2024-01-01 02:39:00,A,A,PENDING
TX000160,ACC0633,ACC0135,2990.26,TRANSFER,2024-01-01 02:40:00,A,A,PENDING
TX000161,ACC0158,ACC0167,912.42,TRANSFER,2024-01-01 02:41:00,C,C,PENDING
TX000162,ACC0710,ACC0790,3127.45,TRANSFER,2024-01-01 02:42:00,C,B,PENDING
TX000163,ACC0925,ACC0170,3608.7,TRANSFER,2024-01-01 02:43:00,B,C,PENDING
TX000164,ACC0045,ACC0421,1827.85,TRANSFER,2024-01-01 02:44:00,A,B,PENDING
TX000165,ACC0737,ACC0244,4848.25,TRANSFER,2024-01-01 02:45:00,C,B,PENDING
TX000166,ACC0626,ACC0292,3764.43,TRANSFER,2024-01-01 02:46:00,C,B,PENDING
TX000167,ACC0803,ACC0460,1177.67,TRANSFER,2024-01-01 02:47:00,C,B,PENDING
TX000168,ACC0245,ACC0317,4828.33,TRANSFER,2024-01-01 02:48:00,C,C,PENDING
TX000169,ACC0804,ACC0481,4520.83,TRANSFER,2024-01-01 02:49:00,A,B,PENDING
TX000170,ACC0199,ACC0377,3394.75,TRANSFER,2024-01-01 02:50:00,B,C,PENDING
TX000171,ACC0585,ACC0452,2313.78,TRANSFER,2024-01-01 02:51:00,A,C,PENDING
TX000172,ACC0289,ACC0797,1915.54,TRANSFER,2024-01-01 02:52:00,B,C,PENDING
TX000173,ACC0541,ACC0429,4831.68,TRANSFER,2024-01-01 02:53:00,B,A,PENDING
TX000174,ACC0837,ACC0205,4008.28,TRANSFER,2024-01-01 02:54:00,A,B,PENDING
TX000175,ACC0142,ACC0894,1257.52,TRANSFER,2024-01-01 02:55:00,B,A,PENDING
TX000176,ACC0657,ACC0493,4371.84,TRANSFER,2024-01-01 02:56:00,A,B,PENDING
TX000177,ACC0568,ACC0957,521.92,TRANSFER,2024-01-01 02:57:00,B,A,PENDING
TX000178,ACC0867,ACC0529,4257.32,TRANSFER,2024-01-01 02:58:00,A,B,PENDING
TX000179,ACC0292,ACC0086,3817.95,TRANSFER,2024-01-01 02:59:00,B,C,PENDING
TX000180,ACC0280,ACC0461,4527.48,TRANSFER,2024-01-01 03:00:00,B,C,PENDING
TX000181,ACC0151,ACC0851,2192.99,TRANSFER,2024-01-01 03:01:00,B,C,PENDING
TX000182,ACC0970,ACC0933,1117.97,TRANSFER,2024-01-01 03:02:00,B,A,PENDING
TX000183,ACC0462,ACC0906,1754.43,TRANSFER,2024-01-01 03:03:00,A,A,PENDING
TX000184,ACC0028,ACC0425,275.75,TRANSFER,2024-01-01 03:04:00,B,C,PENDING
TX000185,ACC0515,ACC0383,1186.53,TRANSFER,2024-01-01 03:05:00,C,C,PENDING
TX000186,ACC0084,ACC0384,1130.45,TRANSFER,2024-01-01 03:06:00,A,A,PENDING
TX000187,ACC0327,ACC0954,504.42,TRANSFER,2024-01-01 03:07:00,A,A,PENDING
TX000188,ACC0732,ACC0666,1683.1,TRANSFER,2024-01-01 03:08:00,A,A,PENDING
TX000189,ACC0150,ACC0141,201.13,TRANSFER,2024-01-01 03:09:00,A,A,PENDING
TX000190,ACC0940,ACC0850,2367.55,TRANSFER,2024-01-01 03:10:00,B,B,PENDING
TX000191,ACC0852,ACC0143,3796.62,TRANSFER,2024-01-01 03:11:00,A,C,PENDING
TX000192,ACC0481,ACC0460,3080.59,TRANSFER,2024-01-01 03:12:00,B,B,PENDING
TX000193,ACC0928,ACC0082,104.83,TRANSFER,2024-01-01 03:13:00,B,B,PENDING
TX000194,ACC0221,ACC0856,756.1,TRANSFER,2024-01-01 03:14:00,C,B,PENDING
TX000195,ACC0963,ACC0745,3048.31,TRANSFER,2024-01-01 03:15:00,A,B,PENDING
TX000196,ACC0434,ACC0114,3883.1,TRANSFER,2024-01-01 03:16:00,C,A,PENDING
TX000197,ACC0244,ACC0309,618.02,TRANSFER,2024-01-01 03:17:00,B,A,PENDING
TX000198,ACC0245,ACC0430,3198.37,TRANSFER,2024-01-01 03:18:00,C,B,PENDING
TX000199,ACC0638,ACC0469,323.41,TRANSFER,2024-01-01 03:19:00,C,B,PENDING
TX000200,ACC0857,ACC0927,2504.15,TRANSFER,2024-01-01 03:20:00,C,A,PENDING
TX000201,ACC0549,ACC0017,3163.46,TRANSFER,2024-01-01 03:21:00,A,C,PENDING
TX000202,ACC0589,ACC0248,3595.54,TRANSFER,2024-01-01 03:22:00,B,C,PENDING
TX000203,ACC0299,ACC0440,17.81,TRANSFER,2024-01-01 03:23:00,C,C,PENDING
TX000204,ACC0362,ACC0247,2857.61,TRANSFER,2024-01-01 03:24:00,C,B,PENDING
TX000205,ACC0192,ACC0681,3344.39,TRANSFER,2024-01-01 03:25:00,A,A,PENDING
TX000206,ACC0537,ACC0999,1809.41,TRANSFER,2024-01-01 03:26:00,A,A,PENDING
TX000207,ACC0977,ACC0539,2724.97,TRANSFER,2024-01-01 03:27:00,C,C,PENDING
TX000208,ACC0806,ACC0520,2775.22,TRANSFER,2024-01-01 03:28:00,C,B,PENDING
TX000209,ACC0400,ACC0895,2355.97,TRANSFER,2024-01-01 03:29:00,B,B,PENDING
TX000210,ACC0651,ACC0397,4905.39,TRANSFER,2024-01-01 03:30:00,A,B,PENDING
TX000211,ACC0260,ACC0766,91.05,TRANSFER,2024-01-01 03:31:00,C,B,PENDING
TX000212,ACC0808,ACC0070,1730.56,TRANSFER,2024-01-01 03:32:00,B,B,PENDING
TX000213,ACC0751,ACC0673,3145.0,TRANSFER,2024-01-01 03:33:00,B,B,PENDING
TX000214,ACC0791,ACC0596,3678.58,TRANSFER,2024-01-01 03:34:00,C,C,PENDING
TX000215,ACC0341,ACC0137,231.24,TRANSFER,2024-01-01 03:35:00,C,C,PENDING
TX000216,ACC0560,ACC0347,4069.41,TRANSFER,2024-01-01 03:36:00,C,C,PENDING
TX000217,ACC0180,ACC0851,3897.92,TRANSFER,2024-01-01 03:37:00,A,C,PENDING
TX000218,ACC0476,ACC0713,2397.87,TRANSFER,2024-01-01 03:38:00,C,C,PENDING
TX000219,ACC0187,ACC0831,682.91,TRANSFER,2024-01-01 03:39:00,B,A,PENDING
TX000220,ACC0734,ACC0795,4718.59,TRANSFER,2024-01-01 03:40:00,C,A,PENDING
TX000221,ACC0038,ACC0301,1015.94,TRANSFER,2024-01-01 03:41:00,C,B,PENDING
TX000222,ACC0811,ACC0205,4430.09,TRANSFER,2024-01-01 03:42:00,B,B,PENDING
TX000223,ACC0324,ACC0956,1557.28,TRANSFER,2024-01-01 03:43:00,A,C,PENDING
TX000224,ACC0408,ACC0835,2719.72,TRANSFER,2024-01-01 03:44:00,A,B,PENDING
TX000225,ACC0260,ACC0038,3768.92,TRANSFER,2024-01-01 03:45:00,C,C,PENDING
TX000226,ACC0196,ACC0293,1791.3,TRANSFER,2024-01-01 03:46:00,B,C,PENDING
TX000227,ACC0800,ACC0049,4330.33,TRANSFER,2024-01-01 03:47:00,C,B,PENDING
TX000228,ACC0340,ACC0280,631.13,TRANSFER,2024-01-01 03:48:00,B,B,PENDING
TX000229,ACC0377,ACC0448,4448.54,TRANSFER,2024-01-01 03:49:00,C,B,PENDING
TX000230,ACC0762,ACC0451,4474.24,TRANSFER,2024-01-01 03:50:00,A,B,PENDING
TX000231,ACC0396,ACC0348,4868.88,TRANSFER,2024-01-01 03:51:00,A,A,PENDING
TX000232,ACC0509,ACC0709,2492.64,TRANSFER,2024-01-01 03:52:00,C,B,PENDING
TX000233,ACC0947,ACC0817,2601.19,TRANSFER,2024-01-01 03:53:00,C,B,PENDING
TX000234,ACC0821,ACC0085,3638.14,TRANSFER,2024-01-01 03:54:00,C,B,PENDING
TX000235,ACC0081,ACC0441,3016.24,TRANSFER,2024-01-01 03:55:00,A,A,PENDING
TX000236,ACC0843,ACC0185,2731.92,TRANSFER,2024-01-01 03:56:00,A,C,PENDING
TX000237,ACC0329,ACC0106,409.54,TRANSFER,2024-01-01 03:57:00,C,B,PENDING
TX000238,ACC0677,ACC0303,1539.41,TRANSFER,2024-01-01 03:58:00,C,A,PENDING
TX000239,ACC0618,ACC0735,2136.32,TRANSFER,2024-01-01 03:59:00,A,A,PENDING
TX000240,ACC0707,ACC0455,1764.22,TRANSFER,2024-01-01 04:00:00,C,C,PENDING
TX000241,ACC0044,ACC0745,4351.49,TRANSFER,2024-01-01 04:01:00,C,B,PENDING
TX000242,ACC0362,ACC0630,4990.77,TRANSFER,2024-01-01 04:02:00,C,A,PENDING
TX000243,ACC0282,ACC0655,4900.34,TRANSFER,2024-01-01 04:03:00,A,B,PENDING
TX000244,ACC0971,ACC0059,384.46,TRANSFER,2024-01-01 04:04:00,C,C,PENDING
TX000245,ACC0653,ACC0416,1822.92,TRANSFER,2024-01-01 04:05:00,C,C,PENDING
TX000246,ACC0821,ACC0768,3400.26,TRANSFER,2024-01-01 04:06:00,C,A,PENDING
TX000247,ACC0976,ACC0032,722.47,TRANSFER,2024-01-01 04:07:00,B,C,PENDING
TX000248,ACC0623,ACC0695,3908.75,TRANSFER,2024-01-01 04:08:00,C,C,PENDING
TX000249,ACC0036,ACC0130,345.49,TRANSFER,2024-01-01 04:09:00,A,B,PENDING
TX000250,ACC0798,ACC0661,1837.98,TRANSFER,2024-01-01 04:10:00,A,B,PENDING
TX000251,ACC0393,ACC0973,2840.55,TRANSFER,2024-01-01 04:11:00,A,B,PENDING
TX000252,ACC0620,ACC0158,3398.52,TRANSFER,2024-01-01 04:12:00,C,C,PENDING
TX000253,ACC0972,ACC0380,1866.35,TRANSFER,2024-01-01 04:13:00,A,C,PENDING
TX000254,ACC0782,ACC0079,2873.87,TRANSFER,2024-01-01 04:14:00,C,B,PENDING
TX000255,ACC0543,ACC0376,1996.19,TRANSFER,2024-01-01 04:15:00,A,B,PENDING
TX000256,ACC0666,ACC0286,1255.56,TRANSFER,2024-01-01 04:16:00,A,B,PENDING
TX000257,ACC0117,ACC0027,3681.02,TRANSFER,2024-01-01 04:17:00,A,A,PENDING
TX000258,ACC0512,ACC0531,1941.07,TRANSFER,2024-01-01 04:18:00,C,A,PENDING
TX000259,ACC0576,ACC0121,1316.27,TRANSFER,2024-01-01 04:19:00,A,B,PENDING
TX000260,ACC0267,ACC0721,2236.9,TRANSFER,2024-01-01 04:20:00,A,B,PENDING
TX000261,ACC0627,ACC0293,3472.96,TRANSFER,2024-01-01 04:21:00,A,C,PENDING
TX000262,ACC0503,ACC0205,621.96,TRANSFER,2024-01-01 04:22:00,C,B,PENDING
TX000263,ACC0874,ACC0076,2265.69,TRANSFER,2024-01-01 04:23:00,B,B,PENDING
TX000264,ACC0921,ACC0731,2231.1,TRANSFER,2024-01-01 04:24:00,A,C,PENDING
TX000265,ACC0090,ACC0830,3412.83,TRANSFER,2024-01-01 04:25:00,A,C,PENDING
TX000266,ACC0866,ACC0328,3342.52,TRANSFER,2024-01-01 04:26:00,C,B,PENDING
TX000267,ACC0727,ACC0067,2754.49,TRANSFER,2024-01-01 04:27:00,B,B,PENDING
TX000268,ACC0298,ACC0913,1506.78,TRANSFER,2024-01-01 04:28:00,B,B,PENDING
TX000269,ACC0162,ACC0729,3550.72,TRANSFER,2024-01-01 04:29:00,A,A,PENDING
TX000270,ACC0718,ACC0654,878.71,TRANSFER,2024-01-01 04:30:00,B,A,PENDING
TX000271,ACC0371,ACC0521,1128.97,TRANSFER,2024-01-01 04:31:00,C,C,PENDING
TX000272,ACC0206,ACC0812,703.0,TRANSFER,2024-01-01 04:32:00,C,C,PENDING
TX000273,ACC0810,ACC0506,141.16,TRANSFER,2024-01-01 04:33:00,A,C,PENDING
TX000274,ACC0568,ACC0587,1850.87,TRANSFER,2024-01-01 04:34:00,B,C,PENDING
